pc_time,ts_ms,lat,lon,height_mm,velN,velE,velD,fixType,numSV,counter
2026-05-19T22:17:56.266949,867603,40.9250183,29.3138561,135329,-1.0,3.0,11.0,3,15,8662
2026-05-19T22:17:56.314441,867703,40.9250183,29.3138561,135327,-9.0,-11.0,11.0,3,15,8663
2026-05-19T22:17:56.457317,867803,40.9250183,29.3138561,135325,-49.0,9.0,11.0,3,15,8664
2026-05-19T22:17:56.536515,867903,40.9250183,29.3138561,135325,142.0,139.0,8.0,3,15,8665
2026-05-19T22:17:56.662819,868003,40.9250183,29.3138561,135327,173.0,58.0,3.0,3,15,8666
2026-05-19T22:17:56.727265,868103,40.9250183,29.3138561,135337,34.0,5.0,-6.0,3,15,8667
2026-05-19T22:17:56.869680,868203,40.9250183,29.3138561,135317,185.0,115.0,13.0,3,15,8668
2026-05-19T22:17:56.933312,868303,40.9250183,29.3138561,135309,273.0,36.0,18.0,3,15,8669
2026-05-19T22:17:57.076548,868403,40.9250183,29.3138599,135304,120.0,236.0,23.0,3,15,8670
2026-05-19T22:17:57.123834,868503,40.9250183,29.3138599,135308,183.0,288.0,15.0,3,15,8671
2026-05-19T22:17:57.266147,868603,40.9250183,29.3138599,135316,203.0,459.0,8.0,3,15,8672
2026-05-19T22:17:57.344944,868703,40.9250183,29.3138599,135305,281.0,547.0,15.0,3,15,8673
2026-05-19T22:17:57.487150,868803,40.9250221,29.3138599,135317,286.0,714.0,3.0,3,15,8674
2026-05-19T22:17:57.534536,868903,40.9250221,29.3138618,135341,344.0,757.0,-12.0,3,15,8675
2026-05-19T22:17:57.681271,869003,40.9250221,29.3138618,135343,378.0,835.0,-15.0,3,15,8676
2026-05-19T22:17:57.740587,869103,40.9250221,29.3138618,135372,435.0,771.0,-31.0,3,15,8677
2026-05-19T22:17:57.884070,869203,40.9250221,29.3138657,135374,521.0,859.0,-24.0,3,15,8678
2026-05-19T22:17:57.947848,869303,40.9250221,29.3138657,135386,469.0,878.0,-24.0,3,15,8679
2026-05-19T22:17:58.076271,869403,40.9250221,29.3138657,135378,586.0,943.0,-22.0,3,15,8680
2026-05-19T22:17:58.155637,869503,40.9250259,29.3138695,135360,639.0,984.0,-16.0,3,15,8681
2026-05-19T22:17:58.282311,869603,40.9250259,29.3138695,135385,702.0,996.0,-46.0,3,15,8682
2026-05-19T22:17:58.346198,869703,40.9250259,29.3138695,135380,728.0,942.0,-46.0,3,15,8683
2026-05-19T22:17:58.489993,869803,40.9250259,29.3138733,135392,694.0,974.0,-46.0,3,15,8684
2026-05-19T22:17:58.553925,869903,40.9250259,29.3138733,135375,709.0,1145.0,-31.0,3,15,8685
2026-05-19T22:17:58.697797,870003,40.9250259,29.3138752,135400,746.0,1094.0,-43.0,3,15,8686
2026-05-19T22:17:58.745864,870103,40.9250259,29.3138752,135400,730.0,1179.0,-40.0,3,15,8687
2026-05-19T22:17:58.825309,870203,40.9250259,29.3138790,135407,725.0,1141.0,-52.0,3,15,8688
2026-05-19T22:17:58.968963,870303,40.9250259,29.3138790,135404,718.0,1155.0,-51.0,3,15,8689
2026-05-19T22:17:59.016985,870403,40.9250298,29.3138790,135395,696.0,1110.0,-40.0,3,15,8690
2026-05-19T22:17:59.159481,870503,40.9250298,29.3138828,135383,718.0,1150.0,-24.0,3,15,8691
2026-05-19T22:17:59.224133,870603,40.9250298,29.3138828,135372,783.0,1194.0,-14.0,3,15,8692
2026-05-19T22:17:59.368185,870703,40.9250298,29.3138847,135372,780.0,1146.0,-19.0,3,15,8693
2026-05-19T22:17:59.415501,870803,40.9250298,29.3138847,135351,740.0,1038.0,-11.0,3,15,8694
2026-05-19T22:17:59.567931,870903,40.9250336,29.3138885,135361,801.0,1146.0,-20.0,3,15,8695
2026-05-19T22:17:59.639702,871003,40.9250336,29.3138885,135335,791.0,1154.0,1.0,3,15,8696
2026-05-19T22:17:59.766933,871103,40.9250336,29.3138885,135318,828.0,1280.0,17.0,3,15,8697
2026-05-19T22:17:59.831350,871203,40.9250336,29.3138924,135329,860.0,1309.0,6.0,3,15,8698
2026-05-19T22:17:59.975387,871303,40.9250374,29.3138924,135352,822.0,1242.0,-15.0,3,15,8699
2026-05-19T22:18:00.039179,871403,40.9250374,29.3138943,135351,821.0,1157.0,-17.0,3,15,8700
2026-05-19T22:18:00.166707,871503,40.9250374,29.3138943,135330,827.0,1153.0,-2.0,3,15,8701
2026-05-19T22:18:00.230794,871603,40.9250374,29.3138981,135314,878.0,1087.0,8.0,3,15,8702
2026-05-19T22:18:00.374959,871703,40.9250412,29.3138981,135268,982.0,1186.0,31.0,3,15,8703
