pc_time,ts_ms,lat,lon,height_mm,velN,velE,velD,fixType,numSV,counter
2011-09-26T14:43:57.483373,0,48.9475573,8.4127403,148012,-75.4000000,-709.4000000,31.8000000,3,12,0
2011-09-26T14:43:57.583373,100,48.9475573,8.4127390,148009,-70.9000000,-773.8000000,31.1000000,3,12,1
2011-09-26T14:43:57.683373,200,48.9475573,8.4127379,148006,-62.4000000,-838.0000000,31.8000000,3,13,2
2011-09-26T14:43:57.783373,300,48.9475572,8.4127366,148004,-61.8000000,-902.6000000,29.6000000,3,13,3
2011-09-26T14:43:57.883373,400,48.9475572,8.4127353,148000,-52.4000000,-954.9000000,29.6000000,3,13,4
2011-09-26T14:43:57.983373,500,48.9475571,8.4127336,147989,-38.9000000,-1027.6000000,44.9000000,3,13,5
2011-09-26T14:43:58.083373,600,48.9475571,8.4127324,147978,-41.6000000,-1088.3000000,58.5000000,3,13,6
2011-09-26T14:43:58.183373,700,48.9475571,8.4127308,147963,-41.1000000,-1183.3000000,73.3000000,3,12,7
2011-09-26T14:43:58.283373,800,48.9475570,8.4127289,147948,-21.1000000,-1308.1000000,82.2000000,3,12,8
2011-09-26T14:43:58.383373,900,48.9475571,8.4127269,147938,14.7000000,-1432.0000000,80.1000000,3,12,9
2011-09-26T14:43:58.483373,1000,48.9475571,8.4127248,147928,58.1000000,-1561.4000000,84.2000000,3,12,10
2011-09-26T14:43:58.583373,1100,48.9475572,8.4127223,147910,105.4000000,-1707.7000000,103.8000000,3,12,11
2011-09-26T14:43:58.683373,1200,48.9475574,8.4127198,147892,153.2000000,-1837.0000000,111.8000000,3,12,12
2011-09-26T14:43:58.783373,1300,48.9475576,8.4127171,147884,234.4000000,-1956.8000000,97.2000000,3,12,13
2011-09-26T14:43:58.883373,1400,48.9475579,8.4127139,147872,359.5000000,-2081.3000000,71.7000000,3,12,14
2011-09-26T14:43:58.983373,1500,48.9475584,8.4127110,147856,478.5000000,-2188.7000000,79.0000000,3,12,15
2011-09-26T14:43:59.083373,1600,48.9475590,8.4127075,147833,613.4000000,-2298.6000000,103.7000000,3,12,16
2011-09-26T14:43:59.183373,1700,48.9475597,8.4127043,147818,743.0000000,-2398.5000000,117.5000000,3,12,17
2011-09-26T14:43:59.283373,1800,48.9475605,8.4127009,147804,893.0000000,-2485.0000000,120.2000000,3,12,18
2011-09-26T14:43:59.383373,1900,48.9475616,8.4126971,147787,1093.5000000,-2544.2000000,114.4000000,3,12,19
2011-09-26T14:43:59.483373,2000,48.9475628,8.4126936,147769,1285.5000000,-2595.2000000,117.8000000,3,12,20
2011-09-26T14:43:59.583373,2100,48.9475641,8.4126900,147753,1471.3000000,-2645.6000000,122.3000000,3,12,21
2011-09-26T14:43:59.683373,2200,48.9475658,8.4126860,147738,1704.5000000,-2672.5000000,122.0000000,3,12,22
2011-09-26T14:43:59.783373,2300,48.9475676,8.4126823,147724,1932.9000000,-2673.0000000,134.7000000,3,12,23
2011-09-26T14:43:59.883373,2400,48.9475698,8.4126784,147707,2183.2000000,-2657.4000000,143.6000000,3,12,24
2011-09-26T14:43:59.983373,2500,48.9475720,8.4126748,147693,2415.4000000,-2617.7000000,148.3000000,3,12,25
2011-09-26T14:44:00.083373,2600,48.9475744,8.4126714,147678,2657.3000000,-2524.0000000,136.0000000,3,12,26
2011-09-26T14:44:00.183373,2700,48.9475774,8.4126678,147663,2932.9000000,-2388.0000000,83.7000000,3,12,27
2011-09-26T14:44:00.283373,2800,48.9475803,8.4126648,147649,3179.6000000,-2263.1000000,77.8000000,3,12,28
2011-09-26T14:44:00.383373,2900,48.9475834,8.4126619,147635,3426.7000000,-2127.1000000,109.7000000,3,12,29
2011-09-26T14:44:00.483373,3000,48.9475872,8.4126589,147623,3712.4000000,-1942.9000000,146.4000000,3,12,30
