pc_time,ts_ms,lat,lon,height_mm,velN,velE,velD,fixType,numSV,counter
2011-09-30T11:50:40.354663,0,49.0336034,8.3950032,112391,12454.7000000,-1416.4000000,91.7000000,3,7,0
2011-09-30T11:50:40.454663,100,49.0336147,8.3950012,112385,12482.2000000,-1419.9000000,99.2000000,3,7,1
2011-09-30T11:50:40.554663,200,49.0336270,8.3949991,112383,12508.6000000,-1418.2000000,112.2000000,3,7,2
2011-09-30T11:50:40.654663,300,49.0336383,8.3949971,112377,12535.0000000,-1419.6000000,135.6000000,3,7,3
2011-09-30T11:50:40.754663,400,49.0336508,8.3949949,112372,12569.7000000,-1435.8000000,120.9000000,3,7,4
2011-09-30T11:50:40.854663,500,49.0336621,8.3949929,112364,12603.2000000,-1437.9000000,111.0000000,3,7,5
2011-09-30T11:50:40.954663,600,49.0336734,8.3949910,112354,12634.8000000,-1432.7000000,114.3000000,3,7,6
2011-09-30T11:50:41.054663,700,49.0336860,8.3949888,112344,12664.6000000,-1439.8000000,132.5000000,3,7,7
2011-09-30T11:50:41.154663,800,49.0336974,8.3949868,112333,12686.6000000,-1448.2000000,153.6000000,3,7,8
2011-09-30T11:50:41.254663,900,49.0337100,8.3949846,112315,12714.8000000,-1472.0000000,154.9000000,3,7,9
2011-09-30T11:50:41.354663,1000,49.0337214,8.3949826,112300,12745.0000000,-1490.3000000,129.3000000,3,7,10
2011-09-30T11:50:41.454663,1100,49.0337329,8.3949805,112292,12776.0000000,-1490.1000000,105.9000000,3,7,11
2011-09-30T11:50:41.554663,1200,49.0337456,8.3949782,112287,12813.0000000,-1481.2000000,99.0000000,3,7,12
2011-09-30T11:50:41.654663,1300,49.0337572,8.3949762,112282,12851.5000000,-1463.7000000,96.3000000,3,7,13
2011-09-30T11:50:41.754663,1400,49.0337699,8.3949740,112276,12883.6000000,-1441.4000000,114.6000000,3,7,14
2011-09-30T11:50:41.854663,1500,49.0337815,8.3949720,112264,12902.1000000,-1434.1000000,163.4000000,3,7,15
2011-09-30T11:50:41.954663,1600,49.0337943,8.3949697,112257,12934.2000000,-1452.6000000,165.6000000,3,7,16
2011-09-30T11:50:42.054663,1700,49.0338060,8.3949676,112257,12962.2000000,-1486.3000000,127.7000000,3,7,17
2011-09-30T11:50:42.154663,1800,49.0338177,8.3949655,112254,13002.2000000,-1500.6000000,132.7000000,3,7,18
2011-09-30T11:50:42.254663,1900,49.0338306,8.3949632,112255,13044.1000000,-1491.3000000,99.1000000,3,7,19
2011-09-30T11:50:42.354663,2000,49.0338424,8.3949612,112247,13074.1000000,-1462.8000000,164.4000000,3,7,20
2011-09-30T11:50:42.454663,2100,49.0338553,8.3949590,112242,13101.1000000,-1432.6000000,183.1000000,3,7,21
2011-09-30T11:50:42.554663,2200,49.0338671,8.3949569,112234,13125.8000000,-1448.6000000,178.8000000,3,7,22
2011-09-30T11:50:42.654663,2300,49.0338801,8.3949547,112230,13159.6000000,-1466.7000000,151.6000000,3,7,23
2011-09-30T11:50:42.754663,2400,49.0338920,8.3949526,112227,13187.2000000,-1490.2000000,116.8000000,3,7,24
2011-09-30T11:50:42.854663,2500,49.0339039,8.3949506,112223,13215.5000000,-1475.5000000,116.4000000,3,7,25
2011-09-30T11:50:42.954663,2600,49.0339170,8.3949483,112225,13253.8000000,-1464.3000000,81.3000000,3,7,26
2011-09-30T11:50:43.054663,2700,49.0339290,8.3949462,112231,13285.3000000,-1465.3000000,72.5000000,3,6,27
2011-09-30T11:50:43.154663,2800,49.0339421,8.3949440,112230,13315.2000000,-1475.7000000,84.9000000,3,6,28
2011-09-30T11:50:43.254663,2900,49.0339541,8.3949419,112225,13335.9000000,-1497.7000000,106.7000000,3,6,29
2011-09-30T11:50:43.354663,3000,49.0339661,8.3949399,112215,13361.0000000,-1509.2000000,119.2000000,3,6,30
2011-09-30T11:50:43.454663,3100,49.0339794,8.3949376,112214,13392.6000000,-1511.0000000,111.0000000,3,6,31
2011-09-30T11:50:43.554663,3200,49.0339915,8.3949355,112209,13421.7000000,-1503.4000000,113.9000000,3,6,32
2011-09-30T11:50:43.654663,3300,49.0340048,8.3949333,112204,13450.7000000,-1494.2000000,115.0000000,3,6,33
2011-09-30T11:50:43.754663,3400,49.0340169,8.3949312,112196,13479.5000000,-1500.4000000,120.2000000,3,6,34
2011-09-30T11:50:43.854663,3500,49.0340302,8.3949289,112190,13511.2000000,-1510.5000000,109.7000000,3,6,35
2011-09-30T11:50:43.954663,3600,49.0340424,8.3949268,112186,13538.9000000,-1526.6000000,113.0000000,3,6,36
2011-09-30T11:50:44.054663,3700,49.0340546,8.3949247,112179,13562.7000000,-1543.4000000,121.5000000,3,6,37
2011-09-30T11:50:44.154663,3800,49.0340680,8.3949223,112171,13589.7000000,-1561.0000000,128.9000000,3,6,38
2011-09-30T11:50:44.254663,3900,49.0340803,8.3949201,112163,13610.1000000,-1575.7000000,116.8000000,3,6,39
2011-09-30T11:50:44.354663,4000,49.0340937,8.3949177,112157,13620.9000000,-1581.4000000,121.8000000,3,6,40
2011-09-30T11:50:44.454663,4100,49.0341060,8.3949155,112149,13620.8000000,-1585.9000000,129.8000000,3,5,41
2011-09-30T11:50:44.554663,4200,49.0341182,8.3949133,112141,13617.5000000,-1585.9000000,134.8000000,3,5,42
