pc_time,ts_ms,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
2011-09-26T13:15:56.008430,0,0.069872,-0.036918,-0.062440,0.007088,0.051091,0.999684
2011-09-26T13:15:56.018430,10,0.060873,-0.036447,-0.056308,0.007325,0.051209,0.999705
2011-09-26T13:15:56.028430,20,0.051874,-0.035976,-0.050176,0.007562,0.051327,0.999725
2011-09-26T13:15:56.038430,30,0.042875,-0.035505,-0.044044,0.007799,0.051446,0.999746
2011-09-26T13:15:56.048430,40,0.033876,-0.035035,-0.037911,0.008036,0.051564,0.999767
2011-09-26T13:15:56.058430,50,0.024877,-0.034564,-0.031779,0.008273,0.051682,0.999787
2011-09-26T13:15:56.068430,60,0.015878,-0.034093,-0.025647,0.008510,0.051800,0.999808
2011-09-26T13:15:56.078430,70,0.006879,-0.033622,-0.019515,0.008747,0.051919,0.999829
2011-09-26T13:15:56.088430,80,-0.002120,-0.033152,-0.013383,0.008984,0.052037,0.999849
2011-09-26T13:15:56.098430,90,-0.011119,-0.032681,-0.007251,0.009221,0.052155,0.999870
2011-09-26T13:15:56.108430,100,-0.020118,-0.032210,-0.001119,0.009458,0.052273,0.999890
2011-09-26T13:15:56.118430,110,-0.024651,-0.026817,-0.004247,0.009828,0.052435,0.999680
2011-09-26T13:15:56.128430,120,-0.029183,-0.021422,-0.007377,0.010198,0.052596,0.999469
2011-09-26T13:15:56.138430,130,-0.033715,-0.016028,-0.010508,0.010569,0.052758,0.999259
2011-09-26T13:15:56.148430,140,-0.038246,-0.010633,-0.013638,0.010939,0.052919,0.999048
2011-09-26T13:15:56.158430,150,-0.042778,-0.005238,-0.016768,0.011309,0.053080,0.998838
2011-09-26T13:15:56.168430,160,-0.047310,0.000156,-0.019899,0.011680,0.053242,0.998627
2011-09-26T13:15:56.178430,170,-0.051842,0.005551,-0.023029,0.012050,0.053403,0.998417
2011-09-26T13:15:56.188430,180,-0.056374,0.010946,-0.026160,0.012420,0.053564,0.998206
2011-09-26T13:15:56.198430,190,-0.060905,0.016341,-0.029290,0.012791,0.053726,0.997995
2011-09-26T13:15:56.208430,200,-0.065437,0.021735,-0.032421,0.013161,0.053887,0.997785
2011-09-26T13:15:56.218430,210,-0.069969,0.027130,-0.035551,0.013531,0.054048,0.997574
2011-09-26T13:15:56.228430,220,-0.069594,0.017787,-0.042704,0.014546,0.053643,0.997788
2011-09-26T13:15:56.238430,230,-0.069146,0.008225,-0.049917,0.015570,0.053229,0.998008
2011-09-26T13:15:56.248430,240,-0.068698,-0.001338,-0.057131,0.016594,0.052815,0.998228
2011-09-26T13:15:56.258430,250,-0.068251,-0.010901,-0.064344,0.017618,0.052401,0.998448
2011-09-26T13:15:56.268430,260,-0.067803,-0.020463,-0.071557,0.018642,0.051987,0.998668
2011-09-26T13:15:56.278430,270,-0.067355,-0.030026,-0.078770,0.019666,0.051573,0.998888
2011-09-26T13:15:56.288430,280,-0.066907,-0.039588,-0.085983,0.020690,0.051158,0.999108
2011-09-26T13:15:56.298430,290,-0.066459,-0.049151,-0.093196,0.021715,0.050744,0.999328
2011-09-26T13:15:56.308430,300,-0.066011,-0.058713,-0.100409,0.022739,0.050330,0.999548
2011-09-26T13:15:56.318430,310,-0.065563,-0.068276,-0.107623,0.023763,0.049916,0.999768
2011-09-26T13:15:56.328430,320,-0.061974,-0.068543,-0.103039,0.024152,0.050031,0.999954
2011-09-26T13:15:56.338430,330,-0.058382,-0.068802,-0.098445,0.024540,0.050145,1.000141
2011-09-26T13:15:56.348430,340,-0.054790,-0.069060,-0.093850,0.024928,0.050260,1.000327
2011-09-26T13:15:56.358430,350,-0.051198,-0.069319,-0.089256,0.025317,0.050375,1.000513
2011-09-26T13:15:56.368430,360,-0.047606,-0.069578,-0.084661,0.025705,0.050490,1.000700
2011-09-26T13:15:56.378430,370,-0.044014,-0.069836,-0.080067,0.026093,0.050605,1.000886
2011-09-26T13:15:56.388430,380,-0.040422,-0.070095,-0.075473,0.026482,0.050720,1.001072
2011-09-26T13:15:56.398430,390,-0.036830,-0.070354,-0.070878,0.026870,0.050834,1.001259
2011-09-26T13:15:56.408430,400,-0.033238,-0.070612,-0.066284,0.027258,0.050949,1.001445
2011-09-26T13:15:56.418430,410,-0.029646,-0.070871,-0.061690,0.027647,0.051064,1.001632
2011-09-26T13:15:56.428430,420,-0.032445,-0.058381,-0.064301,0.027427,0.051027,1.001633
2011-09-26T13:15:56.438430,430,-0.035269,-0.045839,-0.066941,0.027206,0.050990,1.001633
2011-09-26T13:15:56.448430,440,-0.038093,-0.033298,-0.069582,0.026984,0.050953,1.001634
2011-09-26T13:15:56.458430,450,-0.040917,-0.020757,-0.072222,0.026762,0.050915,1.001634
2011-09-26T13:15:56.468430,460,-0.043742,-0.008216,-0.074862,0.026540,0.050878,1.001635
2011-09-26T13:15:56.478430,470,-0.046566,0.004326,-0.077503,0.026318,0.050841,1.001635
2011-09-26T13:15:56.488430,480,-0.049390,0.016867,-0.080143,0.026097,0.050803,1.001636
2011-09-26T13:15:56.498430,490,-0.052214,0.029408,-0.082783,0.025875,0.050766,1.001636
2011-09-26T13:15:56.508430,500,-0.055038,0.041949,-0.085424,0.025653,0.050729,1.001637
2011-09-26T13:15:56.518430,510,-0.057863,0.054491,-0.088064,0.025431,0.050691,1.001637
2011-09-26T13:15:56.528430,520,-0.060687,0.067032,-0.090705,0.025210,0.050654,1.001638
2011-09-26T13:15:56.538430,530,-0.054883,0.071460,-0.086312,0.025061,0.050813,1.001414
2011-09-26T13:15:56.548430,540,-0.049027,0.075839,-0.081877,0.024914,0.050974,1.001188
2011-09-26T13:15:56.558430,550,-0.043171,0.080219,-0.077442,0.024766,0.051135,1.000963
2011-09-26T13:15:56.568430,560,-0.037315,0.084598,-0.073006,0.024619,0.051296,1.000737
2011-09-26T13:15:56.578430,570,-0.031459,0.088977,-0.068571,0.024471,0.051456,1.000512
2011-09-26T13:15:56.588430,580,-0.025603,0.093356,-0.064136,0.024323,0.051617,1.000286
2011-09-26T13:15:56.598430,590,-0.019747,0.097735,-0.059701,0.024176,0.051778,1.000061
2011-09-26T13:15:56.608430,600,-0.013891,0.102115,-0.055266,0.024028,0.051938,0.999835
2011-09-26T13:15:56.618430,610,-0.008035,0.106494,-0.050831,0.023881,0.052099,0.999610
2011-09-26T13:15:56.628430,620,-0.002179,0.110873,-0.046396,0.023733,0.052260,0.999384
2011-09-26T13:15:56.638430,630,-0.002321,0.109293,-0.053900,0.023523,0.052132,0.999383
2011-09-26T13:15:56.648430,640,-0.002477,0.107698,-0.061433,0.023313,0.052004,0.999382
2011-09-26T13:15:56.658430,650,-0.002634,0.106104,-0.068966,0.023103,0.051876,0.999382
2011-09-26T13:15:56.668430,660,-0.002790,0.104509,-0.076500,0.022893,0.051748,0.999381
2011-09-26T13:15:56.678430,670,-0.002947,0.102915,-0.084033,0.022683,0.051620,0.999380
2011-09-26T13:15:56.688430,680,-0.003103,0.101320,-0.091566,0.022474,0.051491,0.999379
2011-09-26T13:15:56.698430,690,-0.003259,0.099726,-0.099099,0.022264,0.051363,0.999378
2011-09-26T13:15:56.708430,700,-0.003416,0.098131,-0.106633,0.022054,0.051235,0.999378
2011-09-26T13:15:56.718430,710,-0.003572,0.096537,-0.114166,0.021844,0.051107,0.999377
2011-09-26T13:15:56.728430,720,-0.003729,0.094942,-0.121699,0.021634,0.050978,0.999376
2011-09-26T13:15:56.738430,730,-0.002786,0.097859,-0.118238,0.021613,0.051011,0.999314
2011-09-26T13:15:56.748430,740,-0.001819,0.100881,-0.114522,0.021596,0.051046,0.999250
2011-09-26T13:15:56.758430,750,-0.000851,0.103902,-0.110807,0.021580,0.051082,0.999187
2011-09-26T13:15:56.768430,760,0.000117,0.106923,-0.107092,0.021563,0.051118,0.999123
2011-09-26T13:15:56.778430,770,0.001085,0.109945,-0.103376,0.021547,0.051154,0.999060
2011-09-26T13:15:56.788430,780,0.002053,0.112966,-0.099661,0.021531,0.051190,0.998996
2011-09-26T13:15:56.798430,790,0.003020,0.115987,-0.095945,0.021514,0.051226,0.998933
2011-09-26T13:15:56.808430,800,0.003988,0.119009,-0.092230,0.021498,0.051262,0.998869
2011-09-26T13:15:56.818430,810,0.004956,0.122030,-0.088515,0.021481,0.051298,0.998806
2011-09-26T13:15:56.828430,820,0.005924,0.125051,-0.084799,0.021465,0.051333,0.998742
2011-09-26T13:15:56.838430,830,0.006892,0.128073,-0.081084,0.021448,0.051369,0.998679
2011-09-26T13:15:56.848430,840,0.016808,0.128482,-0.073713,0.021635,0.051157,0.998443
2011-09-26T13:15:56.858430,850,0.026779,0.128875,-0.066320,0.021822,0.050943,0.998207
2011-09-26T13:15:56.868430,860,0.036749,0.129268,-0.058927,0.022010,0.050729,0.997971
2011-09-26T13:15:56.878430,870,0.046720,0.129661,-0.051534,0.022198,0.050515,0.997734
