pc_time,ts_ms,gyroX,gyroY,gyroZ,accelX,accelY,accelZ
2011-09-30T11:54:39.239671,0,1.477081,-0.241711,1.094457,-0.039037,0.026267,0.999101
2011-09-30T11:54:39.249671,10,1.431951,-0.266950,1.070161,-0.039203,0.030524,0.999332
2011-09-30T11:54:39.259671,20,1.386822,-0.292189,1.045866,-0.039369,0.034780,0.999562
2011-09-30T11:54:39.269671,30,1.341692,-0.317427,1.021570,-0.039534,0.039037,0.999793
2011-09-30T11:54:39.279671,40,1.296563,-0.342666,0.997275,-0.039700,0.043294,1.000023
2011-09-30T11:54:39.289671,50,1.251433,-0.367905,0.972979,-0.039866,0.047551,1.000254
2011-09-30T11:54:39.299671,60,1.206303,-0.393144,0.948684,-0.040031,0.051808,1.000484
2011-09-30T11:54:39.309671,70,1.161174,-0.418383,0.924388,-0.040197,0.056065,1.000715
2011-09-30T11:54:39.319671,80,1.116044,-0.443622,0.900092,-0.040363,0.060321,1.000945
2011-09-30T11:54:39.329671,90,1.070915,-0.468861,0.875797,-0.040528,0.064578,1.001175
2011-09-30T11:54:39.339671,100,1.025785,-0.494100,0.851501,-0.040694,0.068835,1.001406
2011-09-30T11:54:39.349671,110,0.962741,-0.512328,0.836466,-0.040525,0.066927,1.002550
2011-09-30T11:54:39.359671,120,0.899690,-0.530555,0.821434,-0.040357,0.065017,1.003695
2011-09-30T11:54:39.369671,130,0.836640,-0.548781,0.806402,-0.040188,0.063106,1.004840
2011-09-30T11:54:39.379671,140,0.773590,-0.567007,0.791370,-0.040020,0.061196,1.005985
2011-09-30T11:54:39.389671,150,0.710539,-0.585233,0.776338,-0.039851,0.059286,1.007130
2011-09-30T11:54:39.399671,160,0.647489,-0.603459,0.761306,-0.039683,0.057376,1.008274
2011-09-30T11:54:39.409671,170,0.584439,-0.621686,0.746274,-0.039514,0.055466,1.009419
2011-09-30T11:54:39.419671,180,0.521389,-0.639912,0.731242,-0.039346,0.053556,1.010564
2011-09-30T11:54:39.429671,190,0.458338,-0.658138,0.716210,-0.039177,0.051645,1.011709
2011-09-30T11:54:39.439671,200,0.395288,-0.676364,0.701178,-0.039009,0.049735,1.012853
2011-09-30T11:54:39.449671,210,0.332238,-0.694590,0.686146,-0.038840,0.047825,1.013998
2011-09-30T11:54:39.459671,220,0.315700,-0.694362,0.719406,-0.038142,0.045146,1.011295
2011-09-30T11:54:39.469671,230,0.299981,-0.693809,0.753516,-0.037434,0.042454,1.008525
2011-09-30T11:54:39.479671,240,0.284262,-0.693256,0.787627,-0.036727,0.039762,1.005754
2011-09-30T11:54:39.489671,250,0.268543,-0.692704,0.821737,-0.036019,0.037070,1.002983
2011-09-30T11:54:39.499671,260,0.252824,-0.692151,0.855848,-0.035312,0.034377,1.000212
2011-09-30T11:54:39.509671,270,0.237106,-0.691598,0.889958,-0.034604,0.031685,0.997441
2011-09-30T11:54:39.519671,280,0.221387,-0.691045,0.924069,-0.033896,0.028993,0.994671
